"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"264",12,"LeQuint Allen Jr.",JAC,"RB75","7","2 out of 5","4 out of 5","4 out of 5 stars","+136"
"265",12,"Ty Johnson",BUF,"RB76","7","-","-","2 out of 5 stars","+55"
"266",12,"Will Reichard",MIN,"K16","6","-","-","2 out of 5 stars","-78"
"267",12,"Christian Kirk",SF,"WR96","8","2 out of 5","4 out of 5","2 out of 5 stars","-33"
"268",12,"Tyquan Thornton",KC,"WR97","5","2 out of 5","5 out of 5","2 out of 5 stars","+158"
"269",12,"Samaje Perine",CIN,"RB77","6","1 out of 5","4 out of 5","2 out of 5 stars","+18"
"270",12,"Elijah Sarratt",BAL,"WR98","13","3 out of 5","4 out of 5","4 out of 5 stars","+72"
"271",12,"Wil Lutz",DEN,"K17","10","-","-","1 out of 5 stars","-59"
"272",12,"Darius Slayton",NYG,"WR99","8","2 out of 5","4 out of 5","4 out of 5 stars","+165"
"273",12,"Jordan James",SF,"RB78","8","2 out of 5","4 out of 5","2 out of 5 stars","-32"
"274",12,"Chris Brooks",GB,"RB79","11","2 out of 5","4 out of 5","4 out of 5 stars","+124"
"275",12,"Mason Taylor",NYJ,"TE33","13","1 out of 5","4 out of 5","4 out of 5 stars","+14"
"276",12,"Xavier Legette",CAR,"WR100","5","2 out of 5","4 out of 5","2 out of 5 stars","+164"
"277",12,"Cyrus Allen",KC,"WR101","5","4 out of 5","4 out of 5","2 out of 5 stars","-75"
"278",12,"Michael Penix Jr.",ATL,"QB32","11","2 out of 5","5 out of 5","4 out of 5 stars","+10"
"279",12,"Marvin Mims Jr.",DEN,"WR102","10","3 out of 5","4 out of 5","2 out of 5 stars","+16"
"280",12,"Theo Johnson",NYG,"TE34","8","1 out of 5","5 out of 5","3 out of 5 stars","+44"
"281",12,"Kirk Cousins",LV,"QB33","13","3 out of 5","4 out of 5","1 out of 5 stars","+18"
"282",12,"San Francisco 49ers",SF,"DST17","8","-","-","3 out of 5 stars","-65"
"283",12,"Eli Stowers",PHI,"TE35","10","4 out of 5","4 out of 5","4 out of 5 stars","-14"
"284",12,"DJ Giddens",IND,"RB80","13","2 out of 5","4 out of 5","4 out of 5 stars","+19"
"285",12,"Deshaun Watson",CLE,"QB34","11","1 out of 5","5 out of 5","4 out of 5 stars","+103"
"286",12,"Shedeur Sanders",CLE,"QB35","11","3 out of 5","4 out of 5","4 out of 5 stars","-30"
"287",12,"Atlanta Falcons",ATL,"DST18","11","-","-","4 out of 5 stars","-42"
"288",12,"New Orleans Saints",NO,"DST19","8","-","-","5 out of 5 stars","-60"
"289",12,"Trey Benson",FA,"RB81","-","2 out of 5","4 out of 5","-","+34"
"290",12,"Brashard Smith",KC,"RB82","5","-","-","3 out of 5 stars","+32"
"291",12,"Malik Davis",DAL,"RB83","14","-","-","4 out of 5 stars","+36"
"292",12,"Devin Neal",NO,"RB84","8","2 out of 5","4 out of 5","3 out of 5 stars","+51"
"293",12,"Seth McGowan",IND,"RB85","13","4 out of 5","4 out of 5","4 out of 5 stars","+255"
"294",12,"Kendre Miller",NO,"RB86","8","2 out of 5","4 out of 5","3 out of 5 stars","+27"
"295",12,"Hollywood Brown",PHI,"WR103","10","-","-","4 out of 5 stars","+22"
"296",12,"Devin Singletary",NYG,"RB87","8","-","-","4 out of 5 stars","+10"
"297",12,"Adam Randall",BAL,"RB88","13","3 out of 5","4 out of 5","3 out of 5 stars","+36"
"298",12,"Kyle Williams",NE,"WR104","11","-","-","2 out of 5 stars","-18"
"299",12,"Emari Demercado",KC,"RB89","5","1 out of 5","5 out of 5","3 out of 5 stars","+72"
"300",12,"Mike Gesicki",CIN,"TE36","6","-","-","3 out of 5 stars","+59"
"301",12,"Isaiah Bond",CLE,"WR105","11","-","-","3 out of 5 stars","+178"
"302",12,"Kaleb Johnson",PIT,"RB90","9","2 out of 5","5 out of 5","2 out of 5 stars","-29"
"303",12,"Mack Hollins",NE,"WR106","11","-","-","2 out of 5 stars","+65"
"304",12,"Skyler Bell",BUF,"WR107","7","-","-","4 out of 5 stars","+58"
"305",13,"Trevor Etienne",CAR,"RB91","5","-","-","1 out of 5 stars","+257"
"306",13,"Brandon Aiyuk",SF,"WR108","8","2 out of 5","5 out of 5","2 out of 5 stars","-29"
"307",13,"Isaac Guerendo",SF,"RB92","8","-","-","2 out of 5 stars","+235"
"308",13,"Indianapolis Colts",IND,"DST20","13","-","-","5 out of 5 stars","-27"
"309",13,"Chicago Bears",CHI,"DST21","10","-","-","2 out of 5 stars","-109"
"310",13,"Andrei Iosivas",CIN,"WR109","6","-","-","4 out of 5 stars","+97"
"311",13,"Charlie Smyth",NO,"K18","8","-","-","5 out of 5 stars","-3"
"312",13,"Tyreek Hill",FA,"WR110","-","1 out of 5","5 out of 5","-","-94"
"313",13,"Jerome Ford",WAS,"RB93","7","2 out of 5","4 out of 5","4 out of 5 stars","+289"
"314",13,"Tahj Brooks",CIN,"RB94","6","-","-","2 out of 5 stars","+124"
"315",13,"Oscar Delp",NO,"TE37","8","4 out of 5","4 out of 5","2 out of 5 stars","+207"
"316",13,"Jarquez Hunter",LAR,"RB95","11","-","-","5 out of 5 stars","+69"
"317",13,"Jake Tonges",SF,"TE38","8","-","-","3 out of 5 stars","-51"
"318",13,"Darren Waller",CAR,"TE39","5","-","-","2 out of 5 stars","+94"
"319",13,"Audric Estime",NO,"RB96","8","-","-","3 out of 5 stars","+57"
"320",13,"Jaleel McLaughlin",DEN,"RB97","10","-","-","2 out of 5 stars","+295"
"321",13,"Will Shipley",PHI,"RB98","10","-","-","4 out of 5 stars","+147"
"322",13,"Darnell Washington",PIT,"TE40","9","-","-","2 out of 5 stars","-30"
"323",13,"Jahan Dotson",ATL,"WR111","11","-","-","3 out of 5 stars","+191"
"324",13,"Michael Mayer",LV,"TE41","13","-","-","3 out of 5 stars","+120"
"325",13,"Dallas Cowboys",DAL,"DST22","14","-","-","1 out of 5 stars","-138"
"326",13,"Elijah Arroyo",SEA,"TE42","11","-","-","3 out of 5 stars","+6"
"327",13,"DeMario Douglas",NE,"WR112","11","-","-","2 out of 5 stars","+263"
"328",13,"Jalen Tolbert",MIA,"WR113","6","-","-","3 out of 5 stars","-15"
"329",13,"J.J. McCarthy",MIN,"QB36","6","-","-","5 out of 5 stars","-71"
"330",13,"Bryce Lance",NO,"WR114","8","-","-","3 out of 5 stars","+98"
"331",13,"Carson Beck",ARI,"QB37","14","-","-","2 out of 5 stars","-24"
"332",13,"Xavier Hutchinson",HOU,"WR115","8","-","-","3 out of 5 stars","+279"
"333",13,"Charlie Kolar",LAC,"TE43","7","-","-","4 out of 5 stars","+130"
"334",13,"Konata Mumpfield",LAR,"WR116","11","-","-","1 out of 5 stars","+14"
"335",13,"Kareem Hunt",FA,"RB99","-","-","-","-","+4"
"336",13,"Joe Mixon",FA,"RB100","-","-","-","-","-42"
"337",13,"Tez Johnson",TB,"WR117","10","-","-","4 out of 5 stars","+166"
"338",13,"Chris Brazzell II",CAR,"WR118","5","-","-","2 out of 5 stars","+281"
"339",13,"Jalen Royals",KC,"WR119","5","-","-","2 out of 5 stars","+97"
"340",13,"Erick All Jr.",CIN,"TE44","6","-","-","3 out of 5 stars","-"
"341",13,"Tyler Higbee",LAR,"TE45","11","-","-","4 out of 5 stars","-4"
"342",13,"Cedric Tillman",CLE,"WR120","11","-","-","3 out of 5 stars","+296"
"343",13,"Olamide Zaccheaus",ATL,"WR121","11","-","-","3 out of 5 stars","+231"
"344",13,"Cole Kmet",CHI,"TE46","10","-","-","2 out of 5 stars","-48"
"345",13,"Bam Knight",ARI,"RB101","14","-","-","2 out of 5 stars","-"
"346",13,"Max Klare",LAR,"TE47","11","-","-","4 out of 5 stars","+8"
"347",13,"Mac Jones",SF,"QB38","8","-","-","1 out of 5 stars","-17"
"348",13,"Calvin Austin III",NYG,"WR122","8","-","-","4 out of 5 stars","+45"
"349",13,"Eli Raridon",NE,"TE48","11","-","-","4 out of 5 stars","-9"
"350",13,"Luke McCaffrey",WAS,"WR123","7","-","-","2 out of 5 stars","-35"
"351",13,"Noah Gray",KC,"TE49","5","-","-","4 out of 5 stars","+6"
"352",13,"Kendrick Bourne",ARI,"WR124","14","-","-","2 out of 5 stars","+253"
"353",13,"Joshua Palmer",BUF,"WR125","7","-","-","4 out of 5 stars","-15"
"354",14,"Jake Elliott",PHI,"K19","10","-","-","5 out of 5 stars","-129"
"355",14,"Dawson Knox",BUF,"TE50","7","-","-","3 out of 5 stars","-46"
"356",14,"Carolina Panthers",CAR,"DST23","5","-","-","3 out of 5 stars","-94"
"357",14,"New York Giants",NYG,"DST24","8","-","-","1 out of 5 stars","-131"
"358",14,"Brenen Thompson",LAC,"WR126","7","-","-","2 out of 5 stars","+167"
"359",14,"Ja'Tavion Sanders",CAR,"TE51","5","-","-","2 out of 5 stars","-30"
"360",14,"Treylon Burks",WAS,"WR127","7","-","-","2 out of 5 stars","+236"
"361",14,"Tennessee Titans",TEN,"DST25","9","-","-","2 out of 5 stars","-102"
"362",14,"Justin Fields",KC,"QB39","5","-","-","2 out of 5 stars","-46"
"363",14,"Eli Heidenreich",PIT,"RB102","9","-","-","2 out of 5 stars","-"
"364",14,"Ty Simpson",LAR,"QB40","11","-","-","3 out of 5 stars","-90"
"365",14,"Trey Smack",GB,"K20","11","-","-","4 out of 5 stars","-146"
"366",14,"Tyler Bass",BUF,"K21","7","-","-","2 out of 5 stars","-120"
"367",14,"Malik Benson",LV,"WR128","13","-","-","2 out of 5 stars","+92"
"368",14,"Tampa Bay Buccaneers",TB,"DST26","10","-","-","4 out of 5 stars","-130"
"369",14,"Justin Joly",DEN,"TE52","10","-","-","4 out of 5 stars","+79"
"370",14,"Cincinnati Bengals",CIN,"DST27","6","-","-","4 out of 5 stars","-102"
"371",14,"Nick Folk",ATL,"K22","11","-","-","0 out of 5 stars","-93"
"372",14,"Zane Gonzalez",FA,"K23","-","-","-","-","+164"
"373",14,"Kalif Raymond",CHI,"WR129","10","-","-","3 out of 5 stars","+85"
"374",14,"Savion Williams",GB,"WR130","11","-","-","5 out of 5 stars","+244"
"375",14,"Kevin Coleman Jr.",MIA,"WR131","6","-","-","3 out of 5 stars","+222"
"376",14,"Anthony Richardson Sr.",IND,"QB41","13","-","-","4 out of 5 stars","+42"
"377",14,"Michael Carter",TEN,"RB103","9","-","-","3 out of 5 stars","+283"
"378",14,"Jawhar Jordan",HOU,"RB104","8","-","-","4 out of 5 stars","+182"
"379",14,"Dont'e Thornton Jr.",LV,"WR132","13","-","-","2 out of 5 stars","+116"
"380",14,"Raheim Sanders",CLE,"RB105","11","-","-","3 out of 5 stars","+143"
"381",14,"Joe Flacco",CIN,"QB42","6","-","-","3 out of 5 stars","-56"
"382",14,"Roman Wilson",PIT,"WR133","9","-","-","3 out of 5 stars","+82"
"383",14,"KaVontae Turpin",DAL,"WR134","14","-","-","2 out of 5 stars","-31"
"384",14,"Blake Grupe",IND,"K24","13","-","-","4 out of 5 stars","-112"
"385",14,"Noah Fant",NO,"TE53","8","-","-","2 out of 5 stars","-4"
"386",14,"John Metchie III",CAR,"WR135","5","-","-","2 out of 5 stars","+153"
"387",14,"Phil Mafah",DAL,"RB106","14","-","-","4 out of 5 stars","-"
"388",14,"Jaylin Lane",WAS,"WR136","7","-","-","2 out of 5 stars","+142"
"389",14,"Miami Dolphins",MIA,"DST28","6","-","-","3 out of 5 stars","-96"
"390",14,"Nick Westbrook-Ikhine",IND,"WR137","13","-","-","4 out of 5 stars","+202"
"391",14,"Zavion Thomas",CHI,"WR138","10","-","-","3 out of 5 stars","-44"
"392",14,"Tommy Tremble",CAR,"TE54","5","-","-","2 out of 5 stars","-29"
"393",14,"Chad Ryland",ARI,"K25","14","-","-","2 out of 5 stars","-74"
"394",14,"Roschon Johnson",CHI,"RB107","10","-","-","2 out of 5 stars","+187"
"395",14,"Ryan Fitzgerald",CAR,"K26","5","-","-","0 out of 5 stars","-60"
"396",14,"Colbie Young",CIN,"WR139","6","-","-","4 out of 5 stars","-55"
"397",14,"Washington Commanders",WAS,"DST29","7","-","-","2 out of 5 stars","-113"
"398",14,"Kyle Juszczyk",SF,"RB108","8","-","-","2 out of 5 stars","-25"
"399",14,"Daniel Carlson",NO,"K27","8","-","-","5 out of 5 stars","+109"
"400",14,"Joey Slye",TEN,"K28","9","-","-","4 out of 5 stars","-121"
"401",14,"Tutu Atwell",MIA,"WR140","6","-","-","3 out of 5 stars","+176"
"402",14,"Jameis Winston",NYG,"QB43","8","-","-","4 out of 5 stars","-90"
"403",14,"Luke Musgrave",GB,"TE55","11","-","-","2 out of 5 stars","-11"
"404",14,"Marcus Mariota",WAS,"QB44","7","-","-","2 out of 5 stars","+46"
"405",14,"Devontez Walker",BAL,"WR141","13","-","-","4 out of 5 stars","-79"
"406",14,"CJ Daniels",LAR,"WR142","11","-","-","1 out of 5 stars","+134"
"407",14,"Brandon McManus",FA,"K29","-","-","-","-","-3"
"408",14,"J'Mari Taylor",JAC,"RB109","7","-","-","4 out of 5 stars","-"
"409",14,"Demarcus Robinson",SF,"WR143","8","-","-","2 out of 5 stars","+33"
"410",14,"Jordan Whittington",LAR,"WR144","11","-","-","1 out of 5 stars","-66"
"411",14,"Jam Miller",NE,"RB110","11","-","-","2 out of 5 stars","-"
"412",14,"John Bates",WAS,"TE56","7","-","-","1 out of 5 stars","+205"
"413",14,"Ben Sauls",NYG,"K30","8","-","-","2 out of 5 stars","-99"
"414",14,"Ashton Dulin",IND,"WR145","13","-","-","4 out of 5 stars","-"
"415",14,"Ben Sinnott",WAS,"TE57","7","-","-","1 out of 5 stars","+205"
"416",14,"Mitchell Evans",CAR,"TE58","5","-","-","2 out of 5 stars","-"
"417",14,"Cade Klubnik",NYJ,"QB45","13","-","-","4 out of 5 stars","-64"
"418",14,"Rasheen Ali",BAL,"RB111","13","-","-","3 out of 5 stars","-"
"419",14,"Las Vegas Raiders",LV,"DST30","13","-","-","4 out of 5 stars","-143"
"420",14,"Barion Brown",NO,"WR146","8","-","-","3 out of 5 stars","+55"
"421",14,"Joe Milton III",DAL,"QB46","14","-","-","2 out of 5 stars","-35"
"422",14,"Sione Vaki",DET,"RB112","6","-","-","5 out of 5 stars","-"
"423",15,"Austin Hooper",ATL,"TE59","11","-","-","3 out of 5 stars","+61"
"424",15,"Daniel Bellinger",TEN,"TE60","9","-","-","3 out of 5 stars","+159"
"425",15,"New York Jets",NYJ,"DST31","13","-","-","4 out of 5 stars","+63"
"426",15,"Austin Ekeler",FA,"RB113","-","-","-","-","+167"
"427",15,"Tommy Myers",FA,"TE61","-","-","-","-","-"
"428",15,"Elijah Higgins",ARI,"TE62","14","-","-","2 out of 5 stars","-62"
"429",15,"Isaiah Williams",NYJ,"WR147","13","-","-","4 out of 5 stars","+185"
"430",15,"Dameon Pierce",PHI,"RB114","10","-","-","4 out of 5 stars","-"
"431",15,"Hunter Luepke",DAL,"RB115","14","-","-","4 out of 5 stars","+38"
"432",15,"Spencer Shrader",IND,"K31","13","-","-","4 out of 5 stars","-87"
"433",15,"Jake Moody",FA,"K32","-","-","-","-","-102"
"434",15,"Tyler Goodson",ATL,"RB116","11","-","-","2 out of 5 stars","-"
"435",15,"Greg Dortch",DET,"WR148","6","-","-","4 out of 5 stars","+55"
"436",15,"Marlin Klein",HOU,"TE63","8","-","-","4 out of 5 stars","+57"
"437",15,"Jeremy McNichols",WAS,"RB117","7","-","-","4 out of 5 stars","-"
"438",15,"Riley Leonard",IND,"QB47","13","-","-","4 out of 5 stars","+156"
"439",15,"Dylan Laube",LV,"RB118","13","-","-","2 out of 5 stars","-"
"440",15,"Khalil Herbert",SF,"RB119","8","-","-","2 out of 5 stars","-"
"441",15,"Jason Sanders",NYJ,"K33","13","-","-","2 out of 5 stars","-123"
"442",15,"Odell Beckham Jr.",NYG,"WR149","8","-","-","4 out of 5 stars","-96"
"443",15,"Ronnie Rivers",LAR,"RB120","11","-","-","5 out of 5 stars","+137"
"444",15,"Damien Martinez",GB,"RB121","11","-","-","4 out of 5 stars","-"
"445",15,"Zavier Scott",MIN,"RB122","6","-","-","4 out of 5 stars","-"
"446",15,"Ty Chandler",NO,"RB123","8","-","-","3 out of 5 stars","+220"
"447",15,"Tai Felton",MIN,"WR150","6","-","-","5 out of 5 stars","+36"
"448",15,"Jonnu Smith",FA,"TE64","-","-","-","-","-"
"449",15,"Dyami Brown",WAS,"WR151","7","-","-","2 out of 5 stars","+164"
"450",15,"Reggie Gilliam",NE,"RB124","11","-","-","2 out of 5 stars","+103"
"451",15,"Van Jefferson",WAS,"WR152","7","-","-","2 out of 5 stars","+121"
"452",15,"Mitch Tinsley",CIN,"WR153","6","-","-","4 out of 5 stars","+179"
"453",15,"Roman Hemby",LV,"RB125","13","-","-","2 out of 5 stars","-"
"454",15,"Deion Burks",IND,"WR154","13","-","-","4 out of 5 stars","-"
"455",15,"Will Kacmarek",MIA,"TE65","6","-","-","5 out of 5 stars","-91"
"456",15,"Terrell Jennings",FA,"RB126","-","-","-","-","-"
"457",15,"Alec Ingold",LAC,"RB127","7","-","-","3 out of 5 stars","+168"
"458",15,"Patrick Ricard",NYG,"RB128","8","-","-","4 out of 5 stars","+99"
"459",15,"Robert Henry Jr.",WAS,"RB129","7","-","-","4 out of 5 stars","-"
"460",15,"Josh Oliver",MIN,"TE66","6","-","-","4 out of 5 stars","-80"
"461",15,"Arizona Cardinals",ARI,"DST32","14","-","-","2 out of 5 stars","-156"
"462",15,"Quinn Ewers",MIA,"QB48","6","-","-","3 out of 5 stars","-84"
"463",15,"Elijah Moore",PHI,"WR155","10","-","-","4 out of 5 stars","-"
"464",15,"Isaiah Williams",FA,"WR156","-","-","-","-","-"
"465",15,"Zach Ertz",FA,"TE67","-","-","-","-","+133"
"466",15,"Tyler Badie",DEN,"RB130","10","-","-","2 out of 5 stars","-"
"467",15,"Max Bredeson",MIN,"RB131","6","-","-","4 out of 5 stars","+70"
"468",15,"Tim Patrick",NYJ,"WR157","13","-","-","4 out of 5 stars","+102"
"469",15,"Xavier Restrepo",TEN,"WR158","9","-","-","3 out of 5 stars","-"
"470",15,"Drew Stevens",WAS,"K34","7","-","-","5 out of 5 stars","-168"
"471",15,"Adam Prentice",DEN,"RB132","10","-","-","2 out of 5 stars","+157"
"472",15,"Tanner Koziol",JAC,"TE68","7","-","-","3 out of 5 stars","+14"
"473",15,"Jacob Cowing",SF,"WR159","8","-","-","2 out of 5 stars","-"
"474",15,"Jordan Watkins",SF,"WR160","8","-","-","2 out of 5 stars","-"
"475",15,"Jimmy Horn Jr.",CAR,"WR161","5","-","-","2 out of 5 stars","-5"
"476",15,"Cedrick Wilson Jr.",DET,"WR162","6","-","-","4 out of 5 stars","+173"
"477",15,"Xavier Smith",LAR,"WR163","11","-","-","1 out of 5 stars","-94"
"478",15,"Marquez Valdes-Scantling",DAL,"WR164","14","-","-","2 out of 5 stars","+19"
"479",15,"Antonio Gibson",FA,"RB133","-","-","-","-","+124"
"480",15,"Theo Wease Jr.",MIA,"WR165","6","-","-","3 out of 5 stars","-"
"481",15,"Matt Hibner",BAL,"TE69","13","-","-","4 out of 5 stars","-"
"482",15,"Jahdae Walker",CHI,"WR166","10","-","-","3 out of 5 stars","-83"
"483",15,"Jackson Hawes",BUF,"TE70","7","-","-","3 out of 5 stars","-16"
"484",15,"Jacob Saylors",DET,"RB134","6","-","-","5 out of 5 stars","+128"
"485",15,"Drew Allar",PIT,"QB49","9","-","-","2 out of 5 stars","-174"
"486",15,"Chris Blair",ATL,"WR167","11","-","-","3 out of 5 stars","-"
"487",15,"Sam Roush",CHI,"TE71","10","-","-","2 out of 5 stars","+59"
"488",15,"Jalen Reagor",MIA,"WR168","6","-","-","3 out of 5 stars","-"
"489",15,"Travis Homer",PIT,"RB135","9","-","-","2 out of 5 stars","+164"
"490",15,"British Brooks",HOU,"RB136","8","-","-","4 out of 5 stars","+152"
"491",15,"Michael Woods II",DEN,"WR169","10","-","-","2 out of 5 stars","-"
"492",15,"Jake Browning",TB,"QB50","10","-","-","2 out of 5 stars","-68"
"493",15,"David Sills V",TB,"WR170","10","-","-","4 out of 5 stars","-"
"494",16,"Luke Schoonmaker",DAL,"TE72","14","-","-","2 out of 5 stars","-120"
"495",16,"Frank Gore Jr.",BUF,"RB137","7","-","-","2 out of 5 stars","+89"
"496",16,"Dominic Zvada",NYG,"K35","8","-","-","2 out of 5 stars","-136"
"497",16,"Tyrod Taylor",GB,"QB51","11","-","-","4 out of 5 stars","-108"
"498",16,"DeAndre Hopkins",BAL,"WR171","13","-","-","4 out of 5 stars","+12"
"499",16,"Kene Nwangwu",NYJ,"RB138","13","-","-","3 out of 5 stars","-"
"500",16,"Mason Rudolph",PIT,"QB52","9","-","-","2 out of 5 stars","-18"
"501",16,"Gardner Minshew II",ARI,"QB53","14","-","-","2 out of 5 stars","+51"
"502",16,"Jeremy Ruckert",NYJ,"TE73","13","-","-","4 out of 5 stars","+26"
"503",16,"Drew Sample",CIN,"TE74","6","-","-","3 out of 5 stars","+113"
"504",16,"Jaret Patterson",LAC,"RB139","7","-","-","3 out of 5 stars","-"
"505",16,"Adam Trautman",DEN,"TE75","10","-","-","4 out of 5 stars","-84"
"506",16,"Tanner Hudson",CIN,"TE76","6","-","-","3 out of 5 stars","-"
"507",16,"Michael Burton",CLE,"RB140","11","-","-","3 out of 5 stars","+122"
"508",16,"Durham Smythe",BAL,"TE77","13","-","-","4 out of 5 stars","-3"
"509",16,"Tyler Lockett",LV,"WR172","13","-","-","2 out of 5 stars","-"
"510",16,"Nate Boerkircher",JAC,"TE78","7","-","-","3 out of 5 stars","+11"
"511",16,"Cade Stover",HOU,"TE79","8","-","-","4 out of 5 stars","+8"
"512",16,"Miles Davis",CAR,"RB141","5","-","-","1 out of 5 stars","-"
"513",16,"Foster Moreau",HOU,"TE80","8","-","-","4 out of 5 stars","-"
"514",16,"KeAndre Lambert-Smith",LAC,"WR173","7","-","-","2 out of 5 stars","-42"
"515",16,"Noah Whittington",HOU,"RB142","8","-","-","4 out of 5 stars","-"
"516",16,"Miles Sanders",FA,"RB143","-","-","-","-","-"
"517",16,"Tyler Conklin",DET,"TE81","6","-","-","3 out of 5 stars","+27"
"518",16,"Jermaine Burton",FA,"WR174","-","-","-","-","-"
"519",16,"Elijah Mitchell",FA,"RB144","-","-","-","-","-"
"520",16,"Trey Lance",LAC,"QB54","7","-","-","2 out of 5 stars","-67"
"521",16,"Jaydn Ott",KC,"RB145","5","-","-","3 out of 5 stars","-"
"522",16,"Lil'Jordan Humphrey",DEN,"WR175","10","-","-","2 out of 5 stars","-164"
"523",16,"Michael Trigg",DAL,"TE82","14","-","-","2 out of 5 stars","-91"
"524",16,"Taysom Hill",FA,"TE83","-","-","-","-","+64"
