"Player","Position","Team","ETR Full PPR","ETR Half PPR","ETR Std","ETR Superflex Full","ETR Superflex Half","ESPN ADP","Yahoo ADP","id"
"SF DST","DST","SF","1","1","1","1","1","0","1","SF DST"
"Tank Bigsby","RB","PHI","1","1","1","1","1","0","1","00-0038555"
"TEN DST","DST","TEN","1","1","1","1","1","0","0","TEN DST"
"Travis Kelce","TE","KC","1","1","1","1","1","3","2","00-0030506"
"Tyler Loop","K","BAL","1","1","1","1","1","1","1","00-0040074"
"Wan'Dale Robinson","WR","TEN","1","1","1","1","1","2","1","00-0038117"
"Will Reichard","K","MIN","1","1","1","1","1","0","1","00-0039404"
"Woody Marks","RB","HOU","1","1","1","1","1","1","1","00-0040583"
"Jonah Coleman","RB","DEN","1","1","0","1","1","0","1","ROOKIE jonah coleman"
"Tyjae Spears","RB","TEN","1","1","0","1","1","0","1","00-0039032"
"Tyler Allgeier","RB","ARI","1","1","0","1","1","0","1","00-0037263"
"MarShawn Lloyd","RB","GB","1","1","0","0","1","0","1","00-0039811"
"Mark Andrews","TE","BAL","1","1","0","0","0","2","1","00-0034753"
"Denzel Boston","WR","CLE","1","0","1","1","0","0","1","ROOKIE denzel boston"
"Dylan Sampson","RB","CLE","1","0","0","1","0","0","0","00-0040162"
"Deebo Samuel","WR","SF","1","0","0","0","0","1","1","00-0035719"
"Jake Ferguson","TE","DAL","1","0","0","0","0","2","1","00-0038041"
"Jordyn Tyson","WR","NO","1","0","0","0","0","0","2","ROOKIE jordyn tyson"
"Keenan Allen","WR","IND","1","0","0","0","0","0","1","00-0030279"
"Tre Tucker","WR","LV","1","0","0","0","0","0","0","00-0038563"
"Isaiah Likely","TE","NYG","0","1","0","0","0","2","2","00-0037838"
"Bryce Young","QB","CAR","0","0","0","20","18","0","2","00-0039150"
"Cameron Ward","QB","TEN","0","0","0","20","17","0","1","00-0040676"
"Aaron Rodgers","QB","PIT","0","0","0","17","14","0","2","00-0023459"
"Fernando Mendoza","QB","LV","0","0","0","15","12","0","1","ROOKIE fernando mendoza"
"Geno Smith","QB","NYJ","0","0","0","9","4","0","0","00-0030565"
"Adam Randall","RB","BAL","0","0","0","0","0","0","0","ROOKIE adam randall"
"Adam Trautman","TE","DEN","0","0","0","0","0","0","0","00-0036422"
"Adonai Mitchell","WR","NYJ","0","0","0","0","0","0","0","00-0039890"
"AJ Barner","TE","SEA","0","0","0","0","0","0","1","00-0039793"
"Alvin Kamara","RB","NO","0","0","0","0","0","1","1","00-0033906"
"Andre Szmyt","K","CLE","0","0","0","0","0","0","0","00-0038428"
"Andrei Iosivas","WR","CIN","0","0","0","0","0","0","0","00-0038619"
"Andy Borregales","K","NE","0","0","0","0","0","0","1","00-0040200"
"Antonio Williams","WR","WAS","0","0","0","0","0","0","0","ROOKIE antonio williams"
"ARI DST","DST","ARI","0","0","0","0","0","0","0","ARI DST"
"Ashton Dulin","WR","IND","0","0","0","0","0","0","0","00-0035021"
"ATL DST","DST","ATL","0","0","0","0","0","0","1","ATL DST"
"Austin Hooper","TE","ATL","0","0","0","0","0","0","0","00-0032392"
"BAL DST","DST","BAL","0","0","0","0","0","1","1","BAL DST"
"Barion Brown","WR","NO","0","0","0","0","0","0","0","ROOKIE barion brown"
"Bauer Sharp","TE","TB","0","0","0","0","0","0","0","ROOKIE bauer sharp"
"Blake Grupe","K","IND","0","0","0","0","0","0","0","00-0038905"
"Blake Whiteheart","TE","CLE","0","0","0","0","0","0","0","00-0038710"
"Braelon Allen","RB","NYJ","0","0","0","0","0","0","0","00-0039794"
"Brandon Aiyuk","WR","FA","0","0","0","0","0","0","0","00-0036261"
"Brashard Smith","RB","KC","0","0","0","0","0","0","0","00-0040078"
"Brenen Thompson","WR","LAC","0","0","0","0","0","0","0","ROOKIE brenen thompson"
"Brenton Strange","TE","JAX","0","0","0","0","0","0","1","00-0038935"
"Brian Robinson","RB","ATL","0","0","0","0","0","1","14","00-0037746"
"Brock Wright","TE","DET","0","0","0","0","0","0","0","00-0036754"
"Bryce Lance","WR","NO","0","0","0","0","0","0","0","ROOKIE bryce lance"
"Cade Otton","TE","TB","0","0","0","0","0","0","0","00-0038129"
"Cade Stover","TE","HOU","0","0","0","0","0","0","0","00-0039359"
"Cade York","K","NYJ","0","0","0","0","0","0","0","00-0038097"
"Cairo Santos","K","CHI","0","0","0","0","0","0","1","00-0031203"
"Caleb Douglas","WR","MIA","0","0","0","0","0","0","0","ROOKIE caleb douglas"
"Calvin Austin","WR","NYG","0","0","0","0","0","0","0","00-0037837"
"Calvin Ridley","WR","TEN","0","0","0","0","0","0","0","00-0034837"
"CAR DST","DST","CAR","0","0","0","0","0","0","0","CAR DST"
"Carsen Ryan","TE","CLE","0","0","0","0","0","0","0","ROOKIE carsen ryan"
"Carson Beck","QB","ARI","0","0","0","0","0","0","0","ROOKIE carson beck"
"Cedric Tillman","WR","CLE","0","0","0","0","0","0","0","00-0038979"
"Cedrick Wilson","WR","DET","0","0","0","0","0","0","0","00-0034418"
"Chad Ryland","K","ARI","0","0","0","0","0","0","0","00-0038567"
"Charlie Kolar","TE","LAC","0","0","0","0","0","0","0","00-0038046"
"Charlie Smyth","K","NO","0","0","0","0","0","0","0","00-0039229"
"CHI DST","DST","CHI","0","0","0","0","0","0","1","CHI DST"
"Chig Okonkwo","TE","WAS","0","0","0","0","0","0","1","00-0037809"
"Chimere Dike","WR","TEN","0","0","0","0","0","0","0","00-0040705"
"Chris Bell","WR","MIA","0","0","0","0","0","0","0","ROOKIE chris bell"
"Chris Brooks","RB","GB","0","0","0","0","0","0","0","00-0038685"
"Christian Kirk","WR","SF","0","0","0","0","0","0","0","00-0034775"
"CIN DST","DST","CIN","0","0","0","0","0","0","0","CIN DST"
"CJ Williams","WR","JAX","0","0","0","0","0","0","0","ROOKIE cj williams"
"CLE DST","DST","CLE","0","0","0","0","0","1","1","CLE DST"
"Colbie Young","WR","CIN","0","0","0","0","0","0","0","ROOKIE colbie young"
"Colby Parkinson","TE","LA","0","0","0","0","0","0","0","00-0036244"
"Cole Kmet","TE","CHI","0","0","0","0","0","0","0","00-0036290"
"Cooper Kupp","WR","SEA","0","0","0","0","0","0","1","00-0033908"
"Cyrus Allen","WR","KC","0","0","0","0","0","0","0","ROOKIE cyrus allen"
"Dalton Schultz","TE","HOU","0","0","0","0","0","0","1","00-0034383"
"Daniel Bellinger","TE","TEN","0","0","0","0","0","0","0","00-0038115"
"Dare Ogunbowale","RB","LV","0","0","0","0","0","0","0","00-0033854"
"Darius Slayton","WR","NYG","0","0","0","0","0","0","0","00-0035535"
"Darnell Mooney","WR","NYG","0","0","0","0","0","0","0","00-0036309"
"Darnell Washington","TE","PIT","0","0","0","0","0","0","0","00-0038558"
"Darren Waller","TE","CAR","0","0","0","0","0","0","0","00-0031610"
"David Njoku","TE","LAC","0","0","0","0","0","0","1","00-0033885"
